search_term;cluster;clicks;impressions;cost_rsd;conversions;flag_neg;flag_out_of_offer
izliveni podovi;ostalo;2;37;44;0;1;0
gumirane podloge za pod;ostalo;2;14;44;0;0;0
pvc podloge;pvc-plastika;2;18;44;0;0;0
vinyl podovi;lvt-vinil-parket;2;13;44;0;0;0
moderni podovi;ostalo;2;38;44;0;0;0
najnoviji podovi;ostalo;2;11;44;0;0;0
daske za pod terase;terasa-balkon;2;4;44;0;0;0
tepisi za terase cena;terasa-balkon;2;2;44;0;0;0
ecotile e500 7;ostalo;2;5;44;0;0;0
guma za garazu;garaza-servis;2;12;44;0;0;0
pvc topli pod;pvc-plastika;2;22;44;0;1;1
epoksidni premaz za beton cena;epoksid-conquest;2;15;44;0;1;0
cosic industry;ostalo;2;2;44;0;0;0
plasticne ploce za podove;pvc-plastika;2;9;44;0;0;0
obloga za terasu;terasa-balkon;3;16;44;0;0;0
gumene plocice;gumeni-podovi;2;21;44;0;0;1
plocice za radionice;radionice;2;20;44;0;0;1
cena epoxy podova;epoksid-conquest;2;35;44;0;1;0
podloge za garaže;garaza-servis;2;9;44;0;0;0
ecotile podovi;ostalo;2;13;44;0;0;0
industrijske podloge;industrijski;2;9;44;0;0;0
pvc podne obloge za kupatilo;pvc-plastika;2;12;44;0;0;0
smole za podove;ostalo;2;10;44;0;0;0
epoxy masa za podove;epoksid-conquest;2;6;44;0;1;0
винил подови;ostalo;2;12;44;0;0;0
pod pvc;pvc-plastika;2;9;44;0;0;0
gumeni pod za garazu cena;garaza-servis;2;10;44;0;0;0
pvc ploce za garazu;garaza-servis;2;7;44;0;0;0
cena epoksi podova;epoksid-conquest;2;22;43;0;1;0
podne obloge guma;gumeni-podovi;1;2;43;0;0;0
liveni podovi cena;ostalo;2;11;43;0;0;0
pvc podne plocice;pvc-plastika;2;9;43;0;0;1
kako izgleda industrijski pod;industrijski;2;6;43;0;0;0
podovi od vinila;lvt-vinil-parket;2;10;43;0;0;0
podovi industrijski;industrijski;2;8;43;0;0;0
podloge za dvorišta;dvoriste-basta;3;5;43;0;0;0
smola za podove;epoksid-conquest;2;20;43;0;1;0
gumene podloge za garažu;garaza-servis;2;5;43;0;0;0
cementni podovi;ostalo;2;7;42;0;0;0
plastične podne obloge za terase;terasa-balkon;3;10;42;0;0;0
podovi beograd;ostalo;2;17;42;0;0;0
plasticna podloga za terasu;terasa-balkon;2;8;42;0;0;0
gumeni podovi novi sad;gumeni-podovi;2;2;42;0;0;0
antistatički pod;antistatik-esd;2;3;42;0;0;0
podna obloga spolja;ostalo;3;13;41;0;0;0
antistaticki pod;antistatik-esd;2;8;41;0;0;0
podovi za terase i balkone;terasa-balkon;2;12;41;0;0;0
commercial flooring options;ostalo;6;14;41;0;1;0
podloge za podove;ostalo;2;5;41;0;0;0
bastenske podne obloge;dvoriste-basta;2;16;40;0;0;0
gumeni podovi za terase;terasa-balkon;2;14;40;0;0;0
vestacka trava za terasu;fudbal-trava;1;7;40;0;0;0
bastenski namestaj;dvoriste-basta;2;39;40;0;0;0
podloga za garažu;garaza-servis;2;19;39;0;0;0
gumena podloga za dvoriste;dvoriste-basta;3;8;39;0;0;0
pvc obloge za kuhinju;pvc-plastika;1;1;39;0;0;0
podne obloge za dvorište;dvoriste-basta;2;8;38;0;0;0
jonimpex smederevo;ostalo;2;4;38;0;0;0
podloga za bastu;dvoriste-basta;2;10;38;0;0;0
aquawood wpc;ostalo;1;1;38;0;0;0
sta staviti na terasu umesto plocica;terasa-balkon;2;8;38;0;0;0
bergo podloge;ostalo;2;8;37;0;0;0
industrijski podovi za terase;industrijski;2;6;37;0;0;0
jysk podovi za terase;konkurenti;2;2;37;0;1;0
podne obloge za baste;dvoriste-basta;3;9;37;0;0;0
plasticni laminat cena;lvt-vinil-parket;2;7;37;0;0;1
podovi za radione;radionice;2;8;36;0;0;0
podne obloge za terase pevex;konkurenti;2;6;36;0;0;1
deking dimenzije;ostalo;2;11;36;0;0;1
deking;ostalo;2;57;36;0;0;1
bergo podloga cena;ostalo;2;7;35;0;0;0
plastificirane podne obloge;ostalo;2;8;35;0;0;0
podovi za spoljne terase;terasa-balkon;3;26;35;0;0;0
exhibition flooring vinyl;lvt-vinil-parket;3;5;34;0;1;0
decking;ostalo;2;11;34;0;0;0
plastificirani podovi za terase;terasa-balkon;2;4;34;0;0;0
podloge za bazene;bazen;2;14;33;0;0;0
za terasu pod;terasa-balkon;2;8;33;0;0;0
deking novi sad;ostalo;2;15;32;0;0;1
bastenske podloge;dvoriste-basta;2;4;32;0;0;0
postavljanje epoxy podova;epoksid-conquest;2;9;32;0;1;0
wpc klik ploče;ostalo;2;6;31;0;0;0
izrada ferobetona;ostalo;2;16;31;0;1;0
pvc vinil podovi;lvt-vinil-parket;1;6;31;0;0;0
podne obloge oko bazena;bazen;2;7;31;0;0;0
pod za terase;terasa-balkon;2;25;31;0;0;0
tarkett;konkurenti;2;159;31;0;1;0
