query;clicks;impressions;ctr;position
protivklizne gumene podloge;2;8;0,25;8,625
lidl vestacka trava;2;7;0,2857;16,7143
lvt cena;2;7;0,2857;15,7143
vinil za terase;2;7;0,2857;6,8571
gde kupiti;2;6;0,3333;3,5
ftlati;2;6;0,3333;3,6667
pvc podne pločice;2;4;0,5;5,75
cena vestacke trave za fudbal;2;4;0,5;1,5
podne obloge;1;1230;0,0008;38,126
dunk shop galerija;1;1101;0,0009;8,6667
visina kosa;1;1027;0,001;1,0837
duzina kosarkaskog terena;1;1007;0,001;1,7646
fudbalski teren dimenzije;1;868;0,0012;3,3813
odbojkaski teren;1;692;0,0014;6,4465
visina kosarkaskog kosa;1;673;0,0015;1,0981
pod;1;457;0,0022;29,7221
epoksi pod;1;457;0,0022;12,4004
epoxy podovi;1;399;0,0025;12,183
tenis u zatvorenom;1;373;0,0027;6,2574
dimenzije odbojkaskog terena;1;360;0,0028;1,625
odbojkaški teren dimenzije;1;302;0,0033;1,4536
podovi za apoteke;1;286;0,0035;21,7972
futsal teren dimenzije;1;268;0,0037;1,097
teniski teren;1;252;0,004;5,2817
padel;1;230;0,0043;7,1609
podloge za poslovne prostore;1;190;0,0053;4,5895
industrijski podovi cijena;1;187;0,0053;21,7005
veličina košarkaškog terena;1;178;0,0056;1,7022
teren za tenis dimenzije;1;174;0,0057;2,0287
podovi za ordinacije;1;161;0,0062;34,5963
epoksilni pod;1;154;0,0065;1,0974
table za koseve;1;141;0,0071;11,1206
podloge za teretane;1;137;0,0073;48,4964
pvc podne obloge;1;132;0,0076;43,4621
piklbol sport;1;130;0,0077;1,9308
teren kosarkaski;1;122;0,0082;2,4672
vinil pod u roli;1;113;0,0088;3,0708
ploce za terase;1;112;0,0089;11,5268
krov za terasu;1;105;0,0095;28,3524
